,0
0,Wisconsin
1,Oklahoma
2,Arkansas
3,Virginia
4,Iowa
5,Nevada
6,Pennsylvania
7,Oregon
8,Arizona
9,Maine
10,Idaho
11,Massachusetts
12,Rhode Island
13,Missouri
14,Maryland
15,Utah
16,Delaware
17,Georgia
18,South Dakota
19,Montana
20,Mississippi
21,North Carolina
22,Wyoming
23,Louisiana
24,Minnesota
25,New Mexico
26,Nebraska
27,Tennessee
28,Vermont
29,Indiana
30,Connecticut
31,Michigan
32,Kansas
33,North Dakota
34,Colorado
35,New Hampshire
36,Washington
37,West Virginia
